hour,demanda_media
0,22504.79531640625
1,21748.03427890625
2,21401.7035484375
3,21495.91205625
4,22589.59824921875
5,24553.53742421875
6,26507.263740625
7,27716.24099375
8,28406.7281125
9,28686.40578893955
10,28771.469109470858
11,28895.12664856787
12,28807.78753426044
13,28269.960951761615
14,27796.843750651216
15,27760.203483428915
16,28049.9605872764
17,28925.756511806296
18,30092.713612296087
19,30730.791414381507
20,29548.79569514987
21,27202.651909809098
22,25247.13155915357
23,23737.80567109375
