ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-12-31,7685664.395845595,161791222.24507082,280508996.0000992,7685664.395845595,7685664.395845595,213898455.36603776,213898455.36603776,213898455.36603776,213898455.36603776,213898455.36603776,213898455.36603776,0.0,0.0,0.0,221584119.76188335
2016-12-31,4638275.360599221,188136618.573397,302644880.4333379,4638275.360599221,4638275.360599221,240410654.33954293,240410654.33954293,240410654.33954293,240410654.33954293,240410654.33954293,240410654.33954293,0.0,0.0,0.0,245048929.70014215
2017-12-31,1599212.5258511892,173591153.83091074,296008030.33549434,1599212.5258511892,1599212.5258511892,231707290.08290148,231707290.08290148,231707290.08290148,231707290.08290148,231707290.08290148,231707290.08290148,0.0,0.0,0.0,233306502.60875267
2018-12-31,-1439850.3084505736,159964581.0185663,280630067.74187994,-1439850.3084505736,-1439850.3084505736,222866342.95959747,222866342.95959747,222866342.95959747,222866342.95959747,222866342.95959747,222866342.95959747,0.0,0.0,0.0,221426492.6511469
2019-12-31,-4478913.140810704,145720820.98977265,270159393.8950443,-4478913.140810704,-4478913.140810704,213898455.3661087,213898455.3661087,213898455.3661087,213898455.3661087,213898455.3661087,213898455.3661087,0.0,0.0,0.0,209419542.225298
2020-12-31,-7526302.1725385245,175874840.13588133,290185102.4114988,-7526302.1725385245,-7526302.1725385245,240410654.3394807,240410654.3394807,240410654.3394807,240410654.3394807,240410654.3394807,240410654.3394807,0.0,0.0,0.0,232884352.16694218
2021-12-31,-10565365.00608973,164475151.79945478,281829239.11915004,-10565365.00608973,-10565365.00608973,231707290.08292347,231707290.08292347,231707290.08292347,231707290.08292347,231707290.08292347,231707290.08292347,0.0,0.0,0.0,221141925.07683375
2022-12-31,-13604427.842025207,149995624.86258528,268612267.9715102,-13604427.842025207,-13604427.842025207,222866342.95962036,222866342.95962036,222866342.95962036,222866342.95962036,222866342.95962036,222866342.95962036,0.0,0.0,0.0,209261915.11759514
2023-12-31,-16643490.679301547,135637105.9337612,261673736.19236535,-16643490.679301547,-16643490.679301547,213898455.36607045,213898455.36607045,213898455.36607045,213898455.36607045,213898455.36607045,213898455.36607045,0.0,0.0,0.0,197254964.6867689
2024-12-31,-19690879.716132067,162978702.85322297,279547285.8805898,-19690879.716132067,-19690879.716132067,240410654.3395704,240410654.3395704,240410654.3395704,240410654.3395704,240410654.3395704,240410654.3395704,0.0,0.0,0.0,220719774.62343833
2025-12-31,-22729942.553408407,150312761.40511623,268985260.54243,-22729942.553408407,-22729942.553408407,231707290.08289862,231707290.08289862,231707290.08289862,231707290.08289862,231707290.08289862,231707290.08289862,0.0,0.0,0.0,208977347.5294902
2026-12-31,-25769005.39068475,139759282.81121618,256474995.19971675,-25769005.541441638,-25769005.234754015,222866342.9596162,222866342.9596162,222866342.9596162,222866342.9596162,222866342.9596162,222866342.9596162,0.0,0.0,0.0,197097337.56893146
2027-12-31,-28808068.22796109,121509860.27132954,242579079.08876157,-28808068.75083114,-28808067.717945393,213898455.36611968,213898455.36611968,213898455.36611968,213898455.36611968,213898455.36611968,213898455.36611968,0.0,0.0,0.0,185090387.1381586
2028-12-31,-31855457.264791608,145396555.71765286,265839589.63001096,-31855458.299493928,-31855456.226222087,240410654.33956274,240410654.33956274,240410654.33956274,240410654.33956274,240410654.33956274,240410654.33956274,0.0,0.0,0.0,208555197.07477114
2029-12-31,-34894520.10206795,139097774.83144927,258869840.60483417,-34894521.73824773,-34894518.447935775,231707290.0828182,231707290.0828182,231707290.0828182,231707290.0828182,231707290.0828182,231707290.0828182,0.0,0.0,0.0,196812769.98075026
2030-12-31,-37933582.93934429,125012324.39822347,248143409.59731534,-37933585.30453665,-37933580.55910561,222866342.95963645,222866342.95963645,222866342.95963645,222866342.95963645,222866342.95963645,222866342.95963645,0.0,0.0,0.0,184932760.02029216
