ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-06-23,669231.353314623,660809.2116327328,745567.0307629204,669231.353314623,669231.353314623,34379.52928791428,34379.52928791428,34379.52928791428,30976.365840426435,30976.365840426435,30976.365840426435,3403.1634474878424,3403.1634474878424,3403.1634474878424,0.0,0.0,0.0,703610.8826025373
2015-06-24,669262.9869148744,665389.9809981817,750637.4419671154,669262.9869148744,669262.9869148744,37837.77584377618,37837.77584377618,37837.77584377618,33161.68636379736,33161.68636379736,33161.68636379736,4676.0894799788275,4676.0894799788275,4676.0894799788275,0.0,0.0,0.0,707100.7627586506
2015-06-25,669294.6205151258,662918.7835410018,750131.7847237645,669294.6205151258,669294.6205151258,37992.1479581339,37992.1479581339,37992.1479581339,31942.905956841343,31942.905956841343,31942.905956841343,6049.242001292554,6049.242001292554,6049.242001292554,0.0,0.0,0.0,707286.7684732598
2015-06-26,669326.2541153772,658873.1820189642,744812.6560663915,669326.2541153772,669326.2541153772,30867.55703158876,30867.55703158876,30867.55703158876,23317.673015923825,23317.673015923825,23317.673015923825,7549.8840156649285,7549.8840156649285,7549.8840156649285,0.0,0.0,0.0,700193.811146966
2015-06-27,669357.8877156286,587983.0893028575,674240.992265522,669357.8877156286,669357.8877156286,-37760.9099693691,-37760.9099693691,-37760.9099693691,-46963.303127829764,-46963.303127829764,-46963.303127829764,9202.393158460656,9202.393158460656,9202.393158460656,0.0,0.0,0.0,631596.9777462595
2015-06-28,669389.52131588,549777.338133385,636436.5720230549,669389.52131588,669389.52131588,-76028.84580776075,-76028.84580776075,-76028.84580776075,-87056.15761388576,-87056.15761388576,-87056.15761388576,11027.311806125022,11027.311806125022,11027.311806125022,0.0,0.0,0.0,593360.6755081193
2015-06-29,669421.1549161313,656398.025390192,739047.4609375441,669421.1549161313,669421.1549161313,27661.312972822445,27661.312972822445,27661.312972822445,14620.829564640575,14620.829564640575,14620.829564640575,13040.483408181874,13040.483408181874,13040.483408181874,0.0,0.0,0.0,697082.4678889537
2015-06-30,669452.7885163828,672949.9926820429,759801.7777146989,669452.7885163828,669452.7885163828,46228.667998280594,46228.667998280594,46228.667998280594,30976.365840439532,30976.365840439532,30976.365840439532,15252.302157841073,15252.302157841073,15252.302157841073,0.0,0.0,0.0,715681.4565146634
2015-07-01,669484.4221166341,678214.9406212004,761727.2521275477,669484.4221166341,669484.4221166341,50828.78658399191,50828.78658399191,50828.78658399191,33161.68636377401,33161.68636377401,33161.68636377401,17667.100220217908,17667.100220217908,17667.100220217908,0.0,0.0,0.0,720313.208700626
2015-07-02,669516.0557168855,679342.8217999457,766757.8535636374,669516.0557168855,669516.0557168855,52225.59906509265,52225.59906509265,52225.59906509265,31942.905956788196,31942.905956788196,31942.905956788196,20282.693108304455,20282.693108304455,20282.693108304455,0.0,0.0,0.0,721741.6547819781
2015-07-03,669547.6893171369,676543.7479698414,757862.0747926723,669547.6893171369,669547.6893171369,46407.77255271625,46407.77255271625,46407.77255271625,23317.673015863467,23317.673015863467,23317.673015863467,23090.099536852777,23090.099536852777,23090.099536852777,0.0,0.0,0.0,715955.4618698531
2015-07-04,669579.3229173883,606857.7939194561,691730.9236387077,669579.3229173883,669579.3229173883,-20889.855816010324,-20889.855816010324,-20889.855816010324,-46963.30312763708,-46963.30312763708,-46963.30312763708,26073.447311626755,26073.447311626755,26073.447311626755,0.0,0.0,0.0,648689.467101378
2015-07-05,669610.9565176397,568751.9681900741,656073.236007005,669610.9565176397,669610.9565176397,-57846.08595271897,-57846.08595271897,-57846.08595271897,-87056.15761386452,-87056.15761386452,-87056.15761386452,29210.071661145532,29210.071661145532,29210.071661145532,0.0,0.0,0.0,611764.8705649207
2015-07-06,669642.5901178911,677391.1650204236,758939.4488881006,669642.5901178911,669642.5901178911,47091.636600218466,47091.636600218466,47091.636600218466,14620.82956469635,14620.82956469635,14620.82956469635,32470.807035522113,32470.807035522113,32470.807035522113,0.0,0.0,0.0,716734.2267181096
