ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-06-30,20148783.236475043,14689968.54632227,18287703.57102567,20148783.236475043,20148783.236475043,-3602197.0215845257,-3602197.0215845257,-3602197.0215845257,-3602197.0215845257,-3602197.0215845257,-3602197.0215845257,0.0,0.0,0.0,16546586.214890517
2015-07-31,20172341.34031205,20589485.717654735,24512534.46891792,20172341.34031205,20172341.34031205,2429738.3587603397,2429738.3587603397,2429738.3587603397,2429738.3587603397,2429738.3587603397,2429738.3587603397,0.0,0.0,0.0,22602079.699072387
2015-08-31,20195899.44414906,19362373.750224855,23000218.556603845,20195899.44414906,20195899.44414906,1014895.333785934,1014895.333785934,1014895.333785934,1014895.333785934,1014895.333785934,1014895.333785934,0.0,0.0,0.0,21210794.77793499
2015-09-30,20218697.60915261,17870269.672965314,21783716.93437313,20218697.60915261,20218697.60915261,-418011.0005426707,-418011.0005426707,-418011.0005426707,-418011.0005426707,-418011.0005426707,-418011.0005426707,0.0,0.0,0.0,19800686.60860994
2015-10-31,20242255.712989617,17675149.235921994,21673606.251761515,20242255.712989617,20242255.712989617,-535686.5296629699,-535686.5296629699,-535686.5296629699,-535686.5296629699,-535686.5296629699,-535686.5296629699,0.0,0.0,0.0,19706569.183326647
2015-11-30,20265053.87636467,18334929.983781822,22050428.90826149,20265053.87636467,20265053.87636467,-79061.44189598695,-79061.44189598695,-79061.44189598695,-79061.44189598695,-79061.44189598695,-79061.44189598695,0.0,0.0,0.0,20185992.434468683
2015-12-31,20288611.978518892,18940314.90376343,22804239.500152815,20288611.978518892,20288611.978518892,595762.4298915787,595762.4298915787,595762.4298915787,595762.4298915787,595762.4298915787,595762.4298915787,0.0,0.0,0.0,20884374.40841047
2016-01-31,20312170.080673113,20309775.9127704,23907122.476157747,20312170.080673113,20312170.080673113,1851845.0580917276,1851845.0580917276,1851845.0580917276,1851845.0580917276,1851845.0580917276,1851845.0580917276,0.0,0.0,0.0,22164015.13876484
2016-02-29,20334208.305269,18174649.246595945,21997815.27435688,20334208.305269,20334208.305269,-290703.85150768585,-290703.85150768585,-290703.85150768585,-290703.85150768585,-290703.85150768585,-290703.85150768585,0.0,0.0,0.0,20043504.453761313
2016-03-31,20357766.40730589,18983708.72381564,22709349.14567179,20357766.40730589,20357766.40730589,528193.4837863843,528193.4837863843,528193.4837863843,528193.4837863843,528193.4837863843,528193.4837863843,0.0,0.0,0.0,20885959.891092274
2016-04-30,20380564.570567396,16846424.013055336,20451597.539471414,20380564.570567396,20380564.570567396,-1772071.7096198595,-1772071.7096198595,-1772071.7096198595,-1772071.7096198595,-1772071.7096198595,-1772071.7096198595,0.0,0.0,0.0,18608492.860947534
2016-05-31,20404122.67260429,17255774.79257734,21040347.22414858,20404122.67260429,20404122.67260429,-1300772.5018441994,-1300772.5018441994,-1300772.5018441994,-1300772.5018441994,-1300772.5018441994,-1300772.5018441994,0.0,0.0,0.0,19103350.170760088
2016-06-30,20426920.826160684,17030359.739271108,21001840.986541815,20426920.826160684,20426920.826160684,-1421774.3351824197,-1421774.3351824197,-1421774.3351824197,-1421774.3351824197,-1421774.3351824197,-1421774.3351824197,0.0,0.0,0.0,19005146.490978263
2016-07-31,20450478.918168962,20209950.19625198,23853738.805457134,20450478.918168962,20450478.918168962,1618639.1486134513,1618639.1486134513,1618639.1486134513,1618639.1486134513,1618639.1486134513,1618639.1486134513,0.0,0.0,0.0,22069118.066782415
2016-08-31,20474037.01017724,19306420.29339593,23264396.215159792,20474037.01017724,20474037.01017724,863967.2936884883,863967.2936884883,863967.2936884883,863967.2936884883,863967.2936884883,863967.2936884883,0.0,0.0,0.0,21338004.303865727
2016-09-30,20496835.163733635,18217159.67769341,21841312.040292565,20496835.163733635,20496835.163733635,-505255.7591988396,-505255.7591988396,-505255.7591988396,-505255.7591988396,-505255.7591988396,-505255.7591988396,0.0,0.0,0.0,19991579.404534794
2016-10-31,20520393.065923676,17925849.15109682,21665919.91490115,20520393.065923676,20520393.065923676,-737550.9811922985,-737550.9811922985,-737550.9811922985,-737550.9811922985,-737550.9811922985,-737550.9811922985,0.0,0.0,0.0,19782842.084731378
2016-11-30,20543191.035785004,18416987.8294056,22173787.207148522,20543191.035785004,20543191.035785004,-240434.07021656333,-240434.07021656333,-240434.07021656333,-240434.07021656333,-240434.07021656333,-240434.07021656333,0.0,0.0,0.0,20302756.965568442
2016-12-31,20566748.937975045,19698824.072252516,23308135.309979364,20566748.937975045,20566748.937975045,938183.4776325946,938183.4776325946,938183.4776325946,938183.4776325946,938183.4776325946,938183.4776325946,0.0,0.0,0.0,21504932.41560764
2017-01-31,20590306.840165082,21090312.36836541,24865023.309399627,20590306.840165082,20590306.840165082,2286553.695948955,2286553.695948955,2286553.695948955,2286553.695948955,2286553.695948955,2286553.695948955,0.0,0.0,0.0,22876860.536114037
2017-02-28,20611548.708643645,18445482.657665107,22312563.017083723,20611548.708643645,20611548.708643645,-237184.33752669848,-237184.33752669848,-237184.33752669848,-237184.33752669848,-237184.33752669848,-237184.33752669848,0.0,0.0,0.0,20374364.371116947
