ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-06-28,4718174.070796899,4280024.554745652,4932162.372654388,4718174.070796899,4718174.070796899,-108948.06207897369,-108948.06207897369,-108948.06207897369,-108948.06207897369,-108948.06207897369,-108948.06207897369,0.0,0.0,0.0,4609226.008717925
2015-07-05,4719173.840734844,4461535.073365842,5094657.909415704,4719173.840734844,4719173.840734844,65853.69397021334,65853.69397021334,65853.69397021334,65853.69397021334,65853.69397021334,65853.69397021334,0.0,0.0,0.0,4785027.534705058
2015-07-12,4720173.610672791,4726994.798943829,5327691.091476815,4720173.610672791,4720173.610672791,299525.1659388419,299525.1659388419,299525.1659388419,299525.1659388419,299525.1659388419,299525.1659388419,0.0,0.0,0.0,5019698.776611633
2015-07-19,4721173.380610736,4895244.828175843,5505216.989481696,4721173.380610736,4721173.380610736,466506.26270017517,466506.26270017517,466506.26270017517,466506.26270017517,466506.26270017517,466506.26270017517,0.0,0.0,0.0,5187679.643310911
2015-07-26,4722173.150548683,4887381.527596038,5518857.780468711,4722173.150548683,4722173.150548683,465741.05812619167,465741.05812619167,465741.05812619167,465741.05812619167,465741.05812619167,465741.05812619167,0.0,0.0,0.0,5187914.208674874
2015-08-02,4723172.920486628,4722285.130143471,5369844.901126771,4723172.920486628,4723172.920486628,314448.0788313209,314448.0788313209,314448.0788313209,314448.0788313209,314448.0788313209,314448.0788313209,0.0,0.0,0.0,5037620.999317949
2015-08-09,4724172.690424575,4537832.33478929,5205826.010939432,4724172.690424575,4724172.690424575,133320.1772452697,133320.1772452697,133320.1772452697,133320.1772452697,133320.1772452697,133320.1772452697,0.0,0.0,0.0,4857492.867669844
2015-08-16,4725172.460362521,4458302.938559048,5096879.546101194,4725172.460362521,4725172.460362521,36475.90391911629,36475.90391911629,36475.90391911629,36475.90391911629,36475.90391911629,36475.90391911629,0.0,0.0,0.0,4761648.364281638
2015-08-23,4726172.2303004665,4441710.497645148,5094569.399969941,4726172.2303004665,4726172.2303004665,39328.1866856749,39328.1866856749,39328.1866856749,39328.1866856749,39328.1866856749,39328.1866856749,0.0,0.0,0.0,4765500.416986141
2015-08-30,4727172.000238413,4484684.4237959385,5130257.437790035,4727172.000238413,4727172.000238413,71221.4857714174,71221.4857714174,71221.4857714174,71221.4857714174,71221.4857714174,71221.4857714174,0.0,0.0,0.0,4798393.486009831
2015-09-06,4728171.7701763585,4488024.575492358,5080675.132972263,4728171.7701763585,4728171.7701763585,62164.97719779912,62164.97719779912,62164.97719779912,62164.97719779912,62164.97719779912,62164.97719779912,0.0,0.0,0.0,4790336.747374157
2015-09-13,4729171.540114305,4413192.355913753,5059125.045538166,4729171.540114305,4729171.540114305,2523.1092729761845,2523.1092729761845,2523.1092729761845,2523.1092729761845,2523.1092729761845,2523.1092729761845,0.0,0.0,0.0,4731694.649387281
2015-09-20,4730171.3100522505,4340067.933651942,4969608.960594363,4730171.3100522505,4730171.3100522505,-75454.24657932982,-75454.24657932982,-75454.24657932982,-75454.24657932982,-75454.24657932982,-75454.24657932982,0.0,0.0,0.0,4654717.063472921
2015-09-27,4731171.079990197,4256604.325235176,4889413.32187359,4731171.079990197,4731171.079990197,-148577.02705093354,-148577.02705093354,-148577.02705093354,-148577.02705093354,-148577.02705093354,-148577.02705093354,0.0,0.0,0.0,4582594.052939263
2015-10-04,4732170.8499281425,4189578.3650926305,4824799.2402776275,4732170.8499281425,4732170.8499281425,-216770.16371767948,-216770.16371767948,-216770.16371767948,-216770.16371767948,-216770.16371767948,-216770.16371767948,0.0,0.0,0.0,4515400.686210463
2015-10-11,4733170.619866089,4119057.3603170933,4759076.165938609,4733170.619866089,4733170.619866089,-276210.5454994708,-276210.5454994708,-276210.5454994708,-276210.5454994708,-276210.5454994708,-276210.5454994708,0.0,0.0,0.0,4456960.074366618
2015-10-18,4734170.389804035,4117971.8310937793,4766924.860232887,4734170.389804035,4734170.389804035,-304565.5963935334,-304565.5963935334,-304565.5963935334,-304565.5963935334,-304565.5963935334,-304565.5963935334,0.0,0.0,0.0,4429604.793410502
