ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-06-30,-28439068.408041973,57026300.717484266,112679390.7647705,-28439068.408041973,-28439068.408041973,113432769.84111196,113432769.84111196,113432769.84111196,113432769.84111196,113432769.84111196,113432769.84111196,0.0,0.0,0.0,84993701.43306999
2015-12-31,-27751682.78527979,89205994.21111584,145848696.1780291,-27751682.78527979,-27751682.78527979,144530275.64504057,144530275.64504057,144530275.64504057,144530275.64504057,144530275.64504057,144530275.64504057,0.0,0.0,0.0,116778592.85976078
2016-06-30,-27071768.745705202,89418016.76587078,145776251.0438922,-27071768.745705202,-27071768.745705202,144933232.7067267,144933232.7067267,144933232.7067267,144933232.7067267,144933232.7067267,144933232.7067267,0.0,0.0,0.0,117861463.9610215
2016-12-31,-26384383.12223529,87324434.59328471,145750176.62975582,-26384383.12223529,-26384383.12223529,144104483.64655718,144104483.64655718,144104483.64655718,144104483.64655718,144104483.64655718,144104483.64655718,0.0,0.0,0.0,117720100.52432188
2017-06-30,-25708204.87286972,82425495.3738332,137581077.34284192,-25708204.87286972,-25708204.87286972,135122246.00298315,135122246.00298315,135122246.00298315,135122246.00298315,135122246.00298315,135122246.00298315,0.0,0.0,0.0,109414041.13011344
2017-12-31,-25020819.250521746,91507485.05626886,147058763.09705862,-25020819.250521746,-25020819.250521746,144487976.77296373,144487976.77296373,144487976.77296373,144487976.77296373,144487976.77296373,144487976.77296373,0.0,0.0,0.0,119467157.52244198
2018-06-30,-24344641.001821425,72708344.15601555,129566354.54178116,-24344641.001821425,-24344641.001821425,124617847.78996958,124617847.78996958,124617847.78996958,124617847.78996958,124617847.78996958,124617847.78996958,0.0,0.0,0.0,100273206.78814815
2018-12-31,-23657255.38138953,92706210.1168684,150353671.48535994,-23657255.38138953,-23657255.38138953,144629901.91885966,144629901.91885966,144629901.91885966,144629901.91885966,144629901.91885966,144629901.91885966,0.0,0.0,0.0,120972646.53747013
2019-06-30,-22981077.141043793,61088387.87307861,116603298.63622536,-22981077.141043793,-22981077.141043793,113432769.84120369,113432769.84120369,113432769.84120369,113432769.84120369,113432769.84120369,113432769.84120369,0.0,0.0,0.0,90451692.70015989
2019-12-31,-22293691.523717158,94228610.44997588,150276008.34306487,-22293691.523717158,-22293691.523717158,144530275.64502865,144530275.64502865,144530275.64502865,144530275.64502865,144530275.64502865,144530275.64502865,0.0,0.0,0.0,122236584.12131149
2020-06-30,-21613777.495138437,95198869.49064943,151590587.04932472,-21613777.495138437,-21613777.495138437,144933232.70676786,144933232.70676786,144933232.70676786,144933232.70676786,144933232.70676786,144933232.70676786,0.0,0.0,0.0,123319455.21162942
2020-12-31,-20926391.883634184,96470521.97442588,151814281.41067624,-20926391.883634184,-20926391.883634184,144104483.64656442,144104483.64656442,144104483.64656442,144104483.64656442,144104483.64656442,144104483.64656442,0.0,0.0,0.0,123178091.76293024
2021-06-30,-20250213.649425842,88177058.94926345,144037500.43547192,-20250213.649425842,-20250213.649425842,135122246.00293082,135122246.00293082,135122246.00293082,135122246.00293082,135122246.00293082,135122246.00293082,0.0,0.0,0.0,114872032.35350499
2021-12-31,-19562828.0376105,97441110.34660648,152017536.2486872,-19562828.0376105,-19562828.0376105,144487976.7729811,144487976.7729811,144487976.7729811,144487976.7729811,144487976.7729811,144487976.7729811,0.0,0.0,0.0,124925148.7353706
2022-06-30,-18886649.804895863,78482110.89731637,134486244.88302892,-18886649.804895863,-18886649.804895863,124617847.78991824,124617847.78991824,124617847.78991824,124617847.78991824,124617847.78991824,124617847.78991824,0.0,0.0,0.0,105731197.98502238
2022-12-31,-18199264.19435722,98190976.27588731,153731262.28932443,-18199264.19435722,-18199264.19435722,144629901.91884005,144629901.91884005,144629901.91884005,144629901.91884005,144629901.91884005,144629901.91884005,0.0,0.0,0.0,126430637.72448283
2023-06-30,-17523661.905977856,68745698.53455083,125700085.661504,-17523661.905977856,-17523661.905977856,113432769.84109771,113432769.84109771,113432769.84109771,113432769.84109771,113432769.84109771,113432769.84109771,0.0,0.0,0.0,95909107.93511985
2023-12-31,-16836861.789614305,100436474.47162826,156572592.20729578,-16836861.789614305,-16836861.789614305,144530275.645053,144530275.645053,144530275.645053,144530275.645053,144530275.645053,144530275.645053,0.0,0.0,0.0,127693413.8554387
2024-06-30,-16157526.89190688,103489311.49534844,157620875.20305577,-16157526.89190688,-16157526.89190688,144933232.7067115,144933232.7067115,144933232.7067115,144933232.7067115,144933232.7067115,144933232.7067115,0.0,0.0,0.0,128775705.81480461
2024-12-31,-15470726.775543328,101335834.74797608,155944027.62716272,-15470726.775543328,-15470726.775543328,144104483.64654633,144104483.64654633,144104483.64654633,144104483.64654633,144104483.64654633,144104483.64654633,0.0,0.0,0.0,128633756.871003
2025-06-30,-14795124.487163968,91799747.82795449,149268386.4818359,-14795124.487163968,-14795124.487163968,135122246.0029693,135122246.0029693,135122246.0029693,135122246.0029693,135122246.0029693,135122246.0029693,0.0,0.0,0.0,120327121.51580533
2025-12-31,-14108324.370800417,100592590.36304866,158038875.5224018,-14108346.736985205,-14108298.177660331,144487976.7729579,144487976.7729579,144487976.7729579,144487976.7729579,144487976.7729579,144487976.7729579,0.0,0.0,0.0,130379652.40215747
2026-06-30,-13432722.082421055,84005261.34363815,139083301.90457293,-13432799.12172661,-13432635.614431238,124617847.7899664,124617847.7899664,124617847.7899664,124617847.7899664,124617847.7899664,124617847.7899664,0.0,0.0,0.0,111185125.70754535
2026-12-31,-12745921.966057505,104974168.73956826,161597818.06965956,-12746075.740552332,-12745756.893916316,144629901.91884163,144629901.91884163,144629901.91884163,144629901.91884163,144629901.91884163,144629901.91884163,0.0,0.0,0.0,131883979.95278412
2027-06-30,-12070319.677678142,75604890.57127409,129011142.24806473,-12070554.514024204,-12070064.046091523,113432769.84120886,113432769.84120886,113432769.84120886,113432769.84120886,113432769.84120886,113432769.84120886,0.0,0.0,0.0,101362450.16353072
2027-12-31,-11383519.56131459,104509815.17575647,159845765.24641547,-11383855.82375964,-11383157.507276097,144530275.64503354,144530275.64503354,144530275.64503354,144530275.64503354,144530275.64503354,144530275.64503354,0.0,0.0,0.0,133146756.08371896
2028-06-30,-10704184.663607165,107335062.24139863,159817670.51652944,-10704635.395575706,-10703701.408510458,144933232.70677823,144933232.70677823,144933232.70677823,144933232.70677823,144933232.70677823,144933232.70677823,0.0,0.0,0.0,134229048.04317105
2028-12-31,-10017384.547243616,103617429.46925691,161515390.66981882,-10017965.93981881,-10016770.534487693,144104483.6465653,144104483.6465653,144104483.6465653,144104483.6465653,144104483.6465653,144104483.6465653,0.0,0.0,0.0,134087099.09932168
2029-06-30,-9341782.258864252,99410859.99665807,152338596.6123788,-9342506.984517736,-9341033.295220703,135122246.00287536,135122246.00287536,135122246.00287536,135122246.00287536,135122246.00287536,135122246.00287536,0.0,0.0,0.0,125780463.7440111
2029-12-31,-8654982.1425007,108766609.06014441,162226904.44321206,-8655881.927644623,-8654080.21956332,144487976.7729797,144487976.7729797,144487976.7729797,144487976.7729797,144487976.7729797,144487976.7729797,0.0,0.0,0.0,135832994.630479
2030-06-30,-7979379.854121341,90194193.18281983,146444190.5076912,-7980430.552049376,-7978282.820057636,124617847.78991498,124617847.78991498,124617847.78991498,124617847.78991498,124617847.78991498,124617847.78991498,0.0,0.0,0.0,116638467.93579364
2030-12-31,-7292579.73775779,110453932.95141938,166510880.19520652,-7293784.341029644,-7291299.839365082,144629901.9188465,144629901.9188465,144629901.9188465,144629901.9188465,144629901.9188465,144629901.9188465,0.0,0.0,0.0,137337322.1810887
2031-06-30,-6616977.449378427,78571178.55754772,134035493.87754112,-6618345.686498476,-6615526.348913809,113432769.84119809,113432769.84119809,113432769.84119809,113432769.84119809,113432769.84119809,113432769.84119809,0.0,0.0,0.0,106815792.39181966
2031-12-31,-5930177.333014876,111084987.51022698,165793832.32932538,-5931738.697784776,-5928543.469187222,144530275.64504611,144530275.64504611,144530275.64504611,144530275.64504611,144530275.64504611,144530275.64504611,0.0,0.0,0.0,138600098.31203124
2032-06-30,-5250842.435307455,108530893.85935517,167878992.14051285,-5252568.552775497,-5249011.529973737,144933232.70665285,144933232.70665285,144933232.70665285,144933232.70665285,144933232.70665285,144933232.70665285,0.0,0.0,0.0,139682390.2713454
2032-12-31,-4564042.318943904,111105950.64148429,169426637.4159015,-4565927.406732253,-4562016.386112978,144104483.64658153,144104483.64658153,144104483.64658153,144104483.64658153,144104483.64658153,144104483.64658153,0.0,0.0,0.0,139540441.3276376
2033-06-30,-3888440.030564541,103315054.1782507,158836985.56748384,-3890484.731539437,-3886165.2515383293,135122246.00291955,135122246.00291955,135122246.00291955,135122246.00291955,135122246.00291955,135122246.00291955,0.0,0.0,0.0,131233805.97235501
2033-12-31,-3201639.9142009895,111705638.44930215,167270297.20994943,-3203894.311314757,-3199153.906304513,144487976.77296898,144487976.77296898,144487976.77296898,144487976.77296898,144487976.77296898,144487976.77296898,0.0,0.0,0.0,141286336.858768
2034-06-30,-2526037.6258216267,95223279.96657053,149627702.28295648,-2528537.4692118675,-2523356.4201248167,124617847.78996964,124617847.78996964,124617847.78996964,124617847.78996964,124617847.78996964,124617847.78996964,0.0,0.0,0.0,122091810.16414802
2034-12-31,-1839237.5094580755,115858690.41446263,171959516.23269066,-1841909.4229294315,-1836291.0584775645,144629901.91883576,144629901.91883576,144629901.91883576,144629901.91883576,144629901.91883576,144629901.91883576,0.0,0.0,0.0,142790664.4093777
2035-06-30,-1163635.221078716,84178408.359264,141344452.71699965,-1166560.7111431868,-1160445.211975051,113432769.84103988,113432769.84103988,113432769.84103988,113432769.84103988,113432769.84103988,113432769.84103988,0.0,0.0,0.0,112269134.61996117
2035-12-31,-476835.104715165,115960251.76342778,171664697.69335416,-479969.12718697166,-473392.1432668459,144530275.64503956,144530275.64503956,144530275.64503956,144530275.64503956,144530275.64503956,144530275.64503956,0.0,0.0,0.0,144053440.5403244
2036-06-30,202499.7929922631,116207005.91055165,171827743.05365688,199134.09266289722,206183.8412860491,144933232.70666406,144933232.70666406,144933232.70666406,144933232.70666406,144933232.70666406,144933232.70666406,0.0,0.0,0.0,145135732.49965632
2036-12-31,889299.9093558107,115574104.51507097,172406597.28319398,885681.3856478407,893220.0633916423,144104483.64656556,144104483.64656556,144104483.64656556,144104483.64656556,144104483.64656556,144104483.64656556,0.0,0.0,0.0,144993783.55592138
2037-06-30,1564902.1977351736,108271368.17221385,164120256.21527636,1561035.945374416,1569086.838375,135122246.0029732,135122246.0029732,135122246.0029732,135122246.0029732,135122246.0029732,135122246.0029732,0.0,0.0,0.0,136687148.20070836
2037-12-31,2251702.3140987214,119466832.12469815,172834631.86276117,2247574.1972511024,2256127.3299741675,144487976.77297458,144487976.77297458,144487976.77297458,144487976.77297458,144487976.77297458,144487976.77297458,0.0,0.0,0.0,146739679.0870733
2038-06-30,2927304.602478088,100522632.09680396,158568984.3764555,2922867.0540058706,2932000.666341913,124617847.7898313,124617847.7898313,124617847.7898313,124617847.7898313,124617847.7898313,124617847.7898313,0.0,0.0,0.0,127545152.39230938
2038-12-31,3614104.718841632,119393788.4522765,177361717.1242106,3609436.1585591934,3619089.0662797345,144629901.91884378,144629901.91884378,144629901.91884378,144629901.91884378,144629901.91884378,144629901.91884378,0.0,0.0,0.0,148244006.63768542
2039-06-30,4289707.007221002,88085081.72289842,144991902.79798394,4284753.949586786,4294962.94870845,113432769.84119242,113432769.84119242,113432769.84119242,113432769.84119242,113432769.84119242,113432769.84119242,0.0,0.0,0.0,117722476.84841342
2039-12-31,4976507.123584546,122858805.79212718,177039615.94005716,4971301.764449317,4982052.401416802,144530275.6450427,144530275.6450427,144530275.6450427,144530275.6450427,144530275.6450427,144530275.6450427,0.0,0.0,0.0,149506782.76862723
2040-06-30,5655842.021291974,125474554.63470653,179614705.70781246,5650322.45322325,5661698.132228706,144933232.70676062,144933232.70676062,144933232.70676062,144933232.70676062,144933232.70676062,144933232.70676062,0.0,0.0,0.0,150589074.7280526
2040-12-31,6342642.1376555255,122517455.76116052,177147768.14945573,6336861.829703705,6348801.388083168,144104483.6465683,144104483.6465683,144104483.6465683,144104483.6465683,144104483.6465683,144104483.6465683,0.0,0.0,0.0,150447125.78422382
2041-06-30,7018244.426034888,114173828.48357269,169373555.58011675,7012254.351257159,7024742.321251267,135122246.0028582,135122246.0028582,135122246.0028582,135122246.0028582,135122246.0028582,135122246.0028582,0.0,0.0,0.0,142140490.4288931
2041-12-31,7705044.54239844,124229282.44929962,179366388.02953067,7698799.021886139,7711894.829930053,144487976.7729953,144487976.7729953,144487976.7729953,144487976.7729953,144487976.7729953,144487976.7729953,0.0,0.0,0.0,152193021.31539375
2042-06-30,8380646.8307778025,104093153.38063511,161493504.54636574,8374043.193803008,8387847.468658162,124617847.78991191,124617847.78991191,124617847.78991191,124617847.78991191,124617847.78991191,124617847.78991191,0.0,0.0,0.0,132998494.62068972
2042-12-31,9067446.947141353,125058615.67325391,181083184.6888115,9060640.4824187,9074998.366277957,144629901.9188305,144629901.9188305,144629901.9188305,144629901.9188305,144629901.9188305,144629901.9188305,0.0,0.0,0.0,153697348.86597186
2043-06-30,9743049.23552071,95303976.64204693,150699125.59455413,9735876.615603244,9750916.939650144,113432769.84117039,113432769.84117039,113432769.84117039,113432769.84117039,113432769.84117039,113432769.84117039,0.0,0.0,0.0,123175819.07669109
2043-12-31,10429849.351884268,125035520.7070658,182377115.7566577,10422500.97612813,10438081.238746313,144530275.64503098,144530275.64503098,144530275.64503098,144530275.64503098,144530275.64503098,144530275.64503098,0.0,0.0,0.0,154960124.99691525
2044-06-30,11109184.249591695,128539759.57119438,185448421.73208418,11101472.471663356,11117820.37025658,144933232.70675606,144933232.70675606,144933232.70675606,144933232.70675606,144933232.70675606,144933232.70675606,0.0,0.0,0.0,156042416.95634776
2044-12-31,11795984.36595524,128827234.48944771,184393620.69219205,11787867.266355548,11804847.12803275,144104483.64657235,144104483.64657235,144104483.64657235,144104483.64657235,144104483.64657235,144104483.64657235,0.0,0.0,0.0,155900468.01252759
2045-06-30,12471586.654334603,120488263.3515244,175802461.71646553,12463147.558684655,12480850.202876408,135122246.00284764,135122246.00284764,135122246.00284764,135122246.00284764,135122246.00284764,135122246.00284764,0.0,0.0,0.0,147593832.65718225
2045-12-31,13158386.770698154,129677912.37907985,183801829.12828445,13149673.030558886,13168040.104864655,144487976.7729892,144487976.7729892,144487976.7729892,144487976.7729892,144487976.7729892,144487976.7729892,0.0,0.0,0.0,157646363.54368737
2046-06-30,13833989.059077516,110698307.26404966,166594655.9894393,13824986.220631668,13844109.984952351,124617847.79002576,124617847.79002576,124617847.79002576,124617847.79002576,124617847.79002576,124617847.79002576,0.0,0.0,0.0,138451836.84910327
2046-12-31,14520789.175441068,130778028.93913186,186337543.08712727,14511547.802755548,14531265.988304691,144629901.9188596,144629901.9188596,144629901.9188596,144629901.9188596,144629901.9188596,144629901.9188596,0.0,0.0,0.0,159150691.09430066
2047-06-30,15196391.463820431,98235313.88772407,157135053.855995,15186777.475538896,15207276.177808484,113432769.84107588,113432769.84107588,113432769.84107588,113432769.84107588,113432769.84107588,113432769.84107588,0.0,0.0,0.0,128629161.30489631
2047-12-31,15883191.580183975,133158820.40303332,187466443.3665277,15873393.367977152,15894468.900736334,144530275.64502436,144530275.64502436,144530275.64502436,144530275.64502436,144530275.64502436,144530275.64502436,0.0,0.0,0.0,160413467.22520834
