ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-06-30,-27025020.15778335,35315120.001746394,53851372.80422939,-27025020.15778335,-27025020.15778335,71221547.45933522,71221547.45933522,71221547.45933522,71221547.45933522,71221547.45933522,71221547.45933522,0.0,0.0,0.0,44196527.30155187
2015-09-30,-27031951.258501954,53621124.422024265,72206501.89024852,-27031951.258501954,-27031951.258501954,90005610.86425477,90005610.86425477,90005610.86425477,90005610.86425477,90005610.86425477,90005610.86425477,0.0,0.0,0.0,62973659.60575282
2015-12-31,-27038882.359843925,50309165.909983665,70002017.66725637,-27038882.359843925,-27038882.359843925,86870286.17665438,86870286.17665438,86870286.17665438,86870286.17665438,86870286.17665438,86870286.17665438,0.0,0.0,0.0,59831403.81681046
2016-03-31,-27045738.122857474,52605435.46171302,72156921.51142496,-27045738.122857474,-27045738.122857474,89539776.0542723,89539776.0542723,89539776.0542723,89539776.0542723,89539776.0542723,89539776.0542723,0.0,0.0,0.0,62494037.93141482
2016-06-30,-27052593.88587102,48556561.098809995,68608530.39652915,-27052593.88587102,-27052593.88587102,85367162.74575114,85367162.74575114,85367162.74575114,85367162.74575114,85367162.74575114,85367162.74575114,0.0,0.0,0.0,58314568.85988012
2016-09-30,-27059524.986725457,52596638.050930046,72440949.7375272,-27059524.986725457,-27059524.986725457,89868122.76655503,89868122.76655503,89868122.76655503,89868122.76655503,89868122.76655503,89868122.76655503,0.0,0.0,0.0,62808597.77982957
2016-12-31,-27066456.087403208,51328062.7466854,69855399.23797415,-27066456.087403208,-27066456.087403208,87600825.11347127,87600825.11347127,87600825.11347127,87600825.11347127,87600825.11347127,87600825.11347127,0.0,0.0,0.0,60534369.02606806
2017-03-31,-27073236.511842202,52978382.534926414,72493190.31699236,-27073236.511842202,-27073236.511842202,89606059.31525958,89606059.31525958,89606059.31525958,89606059.31525958,89606059.31525958,89606059.31525958,0.0,0.0,0.0,62532822.80341737
2017-06-30,-27080092.2739524,44390668.01752903,63702903.01444267,-27080092.2739524,-27080092.2739524,81215291.56585322,81215291.56585322,81215291.56585322,81215291.56585322,81215291.56585322,81215291.56585322,0.0,0.0,0.0,54135199.29190083
2017-09-30,-27087023.374107756,53543430.07726856,72633203.5302512,-27087023.374107756,-27087023.374107756,89836683.84474038,89836683.84474038,89836683.84474038,89836683.84474038,89836683.84474038,89836683.84474038,0.0,0.0,0.0,62749660.47063262
2017-12-31,-27093954.474743377,51132090.08837532,70551520.70310326,-27093954.474743377,-27093954.474743377,87517098.06793632,87517098.06793632,87517098.06793632,87517098.06793632,87517098.06793632,87517098.06793632,0.0,0.0,0.0,60423143.593192935
2018-03-31,-27100807.916985147,53342822.030619524,71747850.56346022,-27100807.916985147,-27100807.916985147,89743060.54220071,89743060.54220071,89743060.54220071,89743060.54220071,89743060.54220071,89743060.54220071,0.0,0.0,0.0,62642252.62521557
2018-06-30,-27107737.509795304,40245598.58206886,59288355.57927434,-27107737.509795304,-27107737.509795304,76498290.36250688,76498290.36250688,76498290.36250688,76498290.36250688,76498290.36250688,76498290.36250688,0.0,0.0,0.0,49390552.85271157
2018-09-30,-27114770.02299797,53524401.529727995,72007185.56631023,-27114770.02299797,-27114770.02299797,89883480.82107456,89883480.82107456,89883480.82107456,89883480.82107456,89883480.82107456,89883480.82107456,0.0,0.0,0.0,62768710.798076585
2018-12-31,-27121802.53620064,50365669.634491615,69585740.0695708,-27121802.53620064,-27121802.53620064,87273556.54232633,87273556.54232633,87273556.54232633,87273556.54232633,87273556.54232633,87273556.54232633,0.0,0.0,0.0,60151754.00612569
2019-03-31,-27128682.169554386,53211983.67935127,72480395.17903674,-27128682.169554386,-27128682.169554386,89952820.66935447,89952820.66935447,89952820.66935447,89952820.66935447,89952820.66935447,89952820.66935447,0.0,0.0,0.0,62824138.499800086
2019-06-30,-27135638.24310801,34378274.04182913,53457517.861953534,-27135638.24310801,-27135638.24310801,71221547.45937832,71221547.45937832,71221547.45937832,71221547.45937832,71221547.45937832,71221547.45937832,0.0,0.0,0.0,44085909.216270305
2019-09-30,-27142670.757944852,52759933.62825556,71749986.71055642,-27142670.757944852,-27142670.757944852,90005610.86426204,90005610.86426204,90005610.86426204,90005610.86426204,90005610.86426204,90005610.86426204,0.0,0.0,0.0,62862940.10631719
2019-12-31,-27149726.483449113,49903087.20906331,69389627.82767342,-27149726.483449113,-27149726.483449113,86870286.17664747,86870286.17664747,86870286.17664747,86870286.17664747,86870286.17664747,86870286.17664747,0.0,0.0,0.0,59720559.69319835
2020-03-31,-27156705.51628485,53265881.27022914,72708922.832493,-27156705.51628485,-27156705.51628485,89539776.05421743,89539776.05421743,89539776.05421743,89539776.05421743,89539776.05421743,89539776.05421743,0.0,0.0,0.0,62383070.537932575
2020-06-30,-27163684.5490373,47719916.257650346,67756601.11512148,-27163684.5490373,-27163684.5490373,85367162.74577357,85367162.74577357,85367162.74577357,85367162.74577357,85367162.74577357,85367162.74577357,0.0,0.0,0.0,58203478.19673627
2020-09-30,-27170740.275120225,53031674.581055686,73018476.78876458,-27170740.275120225,-27170740.275120225,89868122.76659772,89868122.76659772,89868122.76659772,89868122.76659772,89868122.76659772,89868122.76659772,0.0,0.0,0.0,62697382.49147749
2020-12-31,-27177796.00203062,51684929.08518585,69935877.36874111,-27177796.00203062,-27177796.00203062,87600825.1134749,87600825.1134749,87600825.1134749,87600825.1134749,87600825.1134749,87600825.1134749,0.0,0.0,0.0,60423029.11144429
2021-03-31,-27184705.957264286,53070049.69674256,72088025.2134499,-27184705.957264286,-27184705.957264286,89606059.31521942,89606059.31521942,89606059.31521942,89606059.31521942,89606059.31521942,89606059.31521942,0.0,0.0,0.0,62421353.35795513
2021-06-30,-27191692.689778328,44629705.31080806,64082921.63645513,-27191692.689778328,-27191692.689778328,81215291.5658343,81215291.5658343,81215291.5658343,81215291.5658343,81215291.5658343,81215291.5658343,0.0,0.0,0.0,54023598.87605597
2021-09-30,-27198756.199687384,53443876.38465237,72674272.38307689,-27198756.199687384,-27198756.199687384,89836683.84476717,89836683.84476717,89836683.84476717,89836683.84476717,89836683.84476717,89836683.84476717,0.0,0.0,0.0,62637927.645079784
2021-12-31,-27205819.710084043,51058983.416285485,69650644.83655456,-27205819.710084043,-27205819.710084043,87517098.06792761,87517098.06792761,87517098.06792761,87517098.06792761,87517098.06792761,87517098.06792761,0.0,0.0,0.0,60311278.35784357
2022-03-31,-27212729.666388866,52954116.85556032,72247368.41784957,-27212729.666388866,-27212729.666388866,89743060.54218571,89743060.54218571,89743060.54218571,89743060.54218571,89743060.54218571,89743060.54218571,0.0,0.0,0.0,62530330.87579684
2022-06-30,-27219716.40064089,39487962.31329174,58404618.225356594,-27219716.40064089,-27219716.40064089,76498290.36247934,76498290.36247934,76498290.36247934,76498290.36247934,76498290.36247934,76498290.36247934,0.0,0.0,0.0,49278573.961838454
2022-09-30,-27226779.912192386,53021706.555574596,72561363.76978083,-27226779.912192386,-27226779.912192386,89883480.82105456,89883480.82105456,89883480.82105456,89883480.82105456,89883480.82105456,89883480.82105456,0.0,0.0,0.0,62656700.90886217
